DATE,EXPCH
2006-12-01,5015.8
2007-01-01,4389.5
2007-02-01,4532.9
2007-03-01,5425.4
2007-04-01,4704.0
2007-05-01,5129.4
2007-06-01,5561.8
2007-07-01,4665.9
2007-08-01,5552.8
2007-09-01,5311.9
2007-10-01,5532.9
2007-11-01,5581.5
2007-12-01,6548.9
2008-01-01,5556.7
2008-02-01,5698.1
2008-03-01,6294.4
2008-04-01,5651.2
2008-05-01,6275.7
2008-06-01,6188.2
2008-07-01,6234.6
2008-08-01,6201.3
2008-09-01,5257.6
2008-10-01,6083.4
2008-11-01,5181.0
2008-12-01,5110.7
2009-01-01,4159.6
2009-02-01,4661.7
2009-03-01,5579.3
2009-04-01,5161.4
2009-05-01,5256.0
2009-06-01,5548.6
2009-07-01,5269.3
2009-08-01,5518.0
2009-09-01,5764.3
2009-10-01,6879.3
2009-11-01,7374.2
2009-12-01,8325.0
2010-01-01,6898.4
2010-02-01,6840.2
2010-03-01,7400.8
2010-04-01,6600.7
2010-05-01,6755.3
2010-06-01,6733.7
2010-07-01,7339.3
2010-08-01,7209.7
2010-09-01,7114.3
2010-10-01,9417.3
2010-11-01,9475.8
2010-12-01,10125.6
2011-01-01,8017.8
2011-02-01,8383.3
2011-03-01,9563.7
2011-04-01,8000.5
2011-05-01,7849.2
2011-06-01,7867.0
2011-07-01,8157.9
2011-08-01,8421.6
2011-09-01,8370.1
2011-10-01,9745.6
2011-11-01,9997.2
2011-12-01,9747.7
2012-01-01,8359.5
2012-02-01,8785.7
2012-03-01,9811.6
2012-04-01,8468.1
2012-05-01,8960.2
2012-06-01,8478.1
2012-07-01,8515.1
2012-08-01,8613.3
2012-09-01,8804.2
2012-10-01,10824.4
2012-11-01,10587.8
2012-12-01,10308.6
2013-01-01,9382.9
2013-02-01,9133.3
2013-03-01,9539.0
2013-04-01,8954.0
2013-05-01,8752.8
2013-06-01,9217.6
2013-07-01,8723.7
2013-08-01,9352.1
2013-09-01,9527.2
2013-10-01,13147.8
2013-11-01,13027.1
2013-12-01,12988.7
2014-01-01,10262.9
2014-02-01,9752.9
2014-03-01,10936.2
2014-04-01,9029.5
2014-05-01,9221.3
2014-06-01,9333.9
2014-07-01,9292.9
2014-08-01,9626.7
2014-09-01,9315.0
2014-10-01,12565.8
2014-11-01,12128.0
2014-12-01,12155.5
2015-01-01,9481.5
2015-02-01,8759.3
2015-03-01,9882.0
2015-04-01,9306.7
2015-05-01,8763.1
2015-06-01,9621.7
2015-07-01,9513.6
2015-08-01,9169.3
2015-09-01,9424.3
2015-10-01,11410.1
2015-11-01,10618.0
2015-12-01,10122.3
2016-01-01,8212.1
2016-02-01,8048.7
2016-03-01,8952.3
2016-04-01,8667.1
2016-05-01,8518.3
2016-06-01,8822.7
2016-07-01,9156.9
2016-08-01,9393.9
2016-09-01,9559.9
2016-10-01,12698.0
2016-11-01,12119.3
2016-12-01,11626.0
